Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Terapon jarbua,Jarbua terapon,Perciformes,Terapontidae,3.9,NA,5,NA,NA,demersal,,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,2,18,
Konosirus punctatus,Dotted gizzard shad,Clupeiformes,Clupeidae,2.9,9,15,0.6,0.67,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Boleophthalmus pectinirostris,Great blue spotted mudskipper,Perciformes,Gobiidae,2,9,18,0.5,0.06,demersal,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,2,18,
Branchiostegus auratus,Yellow horsehead,Perciformes,Latilidae,3.5,4,15,0.266666667,0.26,demersal,commercial,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Branchiostegus japonicus,Horsehead tilefish ,Perciformes,Latilidae,3.4,6,15,0.4,0.27,demersal,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Pampus argenteus,Silver pomfret,Perciformes,Stromateidae,3.3,7,10,0.7,0.4,benthopelagic,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Pseudosciaena crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,7,15,0.466666667,0.74,benthopelagic,highly commerical,CR,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Siganus fuscescens,Mottled spinefoot,Perciformes,Siganidae,2,10,18,0.555555556,0.17,reef-associated,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Inegocia japonica,Japanese flathead ,Scorpaeniformes ,Platycephalidae,3.7,3,6,0.5,0.5,demersal,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,2,18,
Konosirus punctatus,Dotted gizzard shad ,Clupeiformes,Clupeidae,2.9,9,10,0.9,2.1,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Wu et al. 2020,FTIR,lab blank,yes,0.0007,2,3,4,1,3,2,3,18,
Konosirus punctatus,Dotted gizzard shad,Clupeiformes,Clupeidae,2.9,NA,7,NA,4.4,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Zhang et al. 2020a,FTIR,not described,yes,0.0045,2,3,4,1,3,2,3,18,
Siganus fuscescens,Mottled spinefoot,Perciformes,Siganidae,2,NA,18,NA,6.7,reef-associated,commercial,LC,CHIN,3,,2020,Zhang et al. 2020a,FTIR,not described,yes,0.0045,2,3,4,1,3,2,3,18,
Repomucenus richardsonii,Dragonet,Perciformes,Callionymidae,3.2,7,13,0.538461538,1,demersal,,Not assessed,CHIN,3,2015,2019,Chan et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,1,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,NA,17,NA,4.058823529,demersal,,Not assessed,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,3,3,4,1,3,2,1,17,
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,2,19,0.105263158,0.1053,benthopelagic,,LC,NPPF,2,2009,2013,Gassel et al. 2013,none,not described,yes,NA,2,2,4,2,3,2,2,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,18,18,1,6.2,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,3,3,4,1,3,2,1,17,
Repomucenus planus,Japanese darter dragonet,Perciformes,Callionymidae,3.2,18,18,1,4.8,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,1,17,
Thamnaconus septentrionalis,NA,Tetraodontiformes,Monacanthidae,3.4,18,18,1,7.2,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,1,17,
Ophiodon elongatus,Lingcod,Scorpaeniformes,Hexagrammidae,4.3,1,11,0.090909091,0.1,demersal,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,2,2,4,1,3,2,3,17,
Sebastes mystinus,Blue Rockfish,Scorpaeniformes,Sebastidae,2.7,2,10,0.2,0.2,reef-associated,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,2,2,4,1,3,2,3,17,
Coilia mystus,Osbeck's grenadier anchovy,Clupeiformes,Engraulidae,3.2,2,9,0.222222222,0.3,pelagic-neritic,,EN,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,2,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,12,26,0.461538462,1.261538462,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,1,17,
Cynoglossus robustus,NA,Pleuronectiformes,Cynoglossidae,3.6,4,9,0.444444444,0.7,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Thamnaconus septentrionalis,NA,Tetraodontiformes,Monacanthidae,3.4,3,9,0.333333333,0.7,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,1,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,3,3,1,6.5,demersal,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,3,4,1,3,2,1,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,NA,5,NA,1.2,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,3,4,1,3,2,1,17,
Cynoglossus robustus,NA,Pleuronectiformes,Cynoglossidae,3.6,NA,30,NA,0.35,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,2,2,4,1,3,2,3,17,
Pennahia macrocephalus,Big-head pennah croaker,Perciformes,Sciaenidae,4.1,0,1,0,0,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,2,2,4,1,3,2,3,17,
Setipinna taty,Scaly hairfin anchovy,Clupeiformes,Engraulidae,3.6,3,3,1,2.3,pelagic-neritic,,LC,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,2,3,4,1,3,2,2,17,
Lophius litulon,Yellow goosefish,Lophiiformes,Lophiidae,4.1,5,20,0.25,0.25,bathydemersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,2,4,1,3,2,3,17,
Setipinna taty,Scaly hairfin anchovy,Clupeiformes,Engraulidae,3.6,6,20,0.3,0.35,pelagic-neritic,,LC,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,2,17,
Platycephalus indicus,Bartail flathead,Scorpaeniformes ,Platycephalidae,3.6,NA,9,NA,NA,reef-associated,commercial,DD,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Nemipterus virgatus,Golden threadfin bream,Perciformes,Nemipteridae,4,1,14,0.071428571,0.071,demersal,commercial,VU,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Pennahia macrocephalus,Big-head pennah croaker,Perciformes,Sciaenidae,4.1,1,18,0.055555556,0.055,demersal,highly commerical,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Coilia mystus,Osbeck's grenadier anchovy,Clupeiformes,Engraulidae,3.2,6,18,0.333333333,0.28,pelagic-neritic,,EN,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,2,17,
Bostrychus sinensis,Four-eyed sleeper,Perciformes,Butidae,4,2,13,0.153846154,0.15,demersal,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Collichthys lucidus,Big head croaker,Perciformes,Sciaenidae,3.6,7,18,0.388888889,0.17,demersal,none,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,1,17,
Johnius belengerii,Belanger's croaker ,Perciformes,Sciaenidae,3.3,5,14,0.357142857,0.21,demersal,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,2,17,
Leiognathus ruconius,Deep pugnose ponyfish ,Perciformes,Leiognathidae,2.7,4,18,0.222222222,0.22,demersal,minor commercial,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Nemipterus virgatus,Golden threadfin bream,Perciformes,Nemipteridae,4,6,16,0.375,0.69,demersal,commercial,VU,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Platycephalus indicus,Bartail flathead,Scorpaeniformes ,Platycephalidae,3.6,1,5,0.2,0.2,demersal,commercial,DD,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,3,17,
Collichthys lucidus,Light maigre,Perciformes,Sciaenidae,3.6,3,3,1,5.6,demersal,none,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,3,3,4,1,3,2,1,17,
Setipinna taty,Scaly hairfin anchovy,Clupeiformes,Engraulidae,3.6,3,3,1,2.3,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,2,3,4,1,3,2,2,17,
Acanthogobius hasta,Asian freshwater goby,Perciformes,Gobiidae,3.6,18,18,1,5.3,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,,16,
Eupleurogrammus muticus,Smallhead hairtail,Perciformes,Trichiuridae,4.1,5,15,0.33,0.33,benthopelagic,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,1,16,
Jaydia lineata,Indian perch,Perciformes,Apogonidae,3.7,7,20,0.35,0.4,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,1,16,
Upeneus sulphureus,Sulphur goatfish,Perciformes,Mullidae,3.1,1,37,0.027027027,0.027,demersal,minor commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,2,16,
Taenioides anguillaris,Eel worm goby,Perciformes,Gobiidae,4,5,18,0.277777778,0.11,demersal,none,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,1,16,
Muraenesox cinereus,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,18,18,1,2.4,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,3,3,,1,3,2,3,15,
Synechogobius ommaturus,Asian freshwater goby,Perciformes,Gobiidae,3.6,17,17,1,3.7,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,2,4,1,3,2,1,15,
Muraenesox cinereus,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,NA,30,NA,0.77,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,3,,1,3,2,3,15,
Muraenesox cinereus,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,3,3,1,7,demersal,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,3,,1,3,2,3,15,
Muraenesox cinereus ,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,1,1,1,NA,demersal,highly commerical,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,3,3,,1,3,2,3,15,
Muraenesox cinereus,Daggertooth pike conger ,Anguilliformes,Muraenesocidae,4.4,4,9,0.444444444,0.66,demersal,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,3,3,,1,3,2,3,15,
Muraenesox cinereus,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,3,3,1,7,demersal,commercial,DD,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,3,3,,1,3,2,3,15,
Lepidocybium flavobrunneum,Smith's escolar,Perciformes,Gempylidae,4.3,0,45,0,NA,benthopelagic,,LC,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,
Thunnus albacares,Yellowfin tuna,Perciformes,Scombridae,4.4,0,26,0,NA,pelagic-oceanic,,NT,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,
Nannobrachium hawaiiensis,NA,Myctophiformes,Myctophidae,3.1,0,17,0,0,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,2,1,NA,NA,NA,NA,NA,3,
Amblychaeturichthys hexanema,Pinkgray goby,Perciformes,Gobiidae,3.4,NA,23,NA,3,demersal,,Not assessed,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,2,1,NA,NA,NA,NA,NA,3,
Chaeturichthys stigmatias,Branded goby,Perciformes,Gobiidae,3.8,NA,16,NA,3.4375,demersal,,Not assessed,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,2,1,NA,NA,NA,NA,NA,3,
Cynoglossus semilaevis,Tongue sole,Pleuronectiformes,Cynoglossidae,3.7,NA,26,NA,4.5,demersal,,Not assessed,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,2,1,NA,NA,NA,NA,NA,3,
Odontamblyopus rubicundus,NA,Perciformes,Gobiidae,3.9,NA,23,NA,3.652173913,benthopelagic,,Not assessed,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,2,1,NA,NA,NA,NA,NA,3,
Thryssa kammalensis,Kammal thryssa,Clupeiformes,Engraulidae,3.4,NA,19,NA,6.315789474,pelagic-neritic,,DD,CHIN,3,Spring 2018,2019,Feng et al. 2019,FTIR,lab blank,yes,0.01,2,1,NA,NA,NA,NA,NA,3,
Chrysochir aureus,Reeve's croaker,Perciformes,Sciaenidae,3.5,NA,30,NA,0.35,benthopelagic,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,2,1,NA,NA,NA,NA,NA,3,
Alepes melanoptera,Blackfin scad,Perciformes,Carangidae,3.4,NA,3,NA,NA,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Leiognathus brevirostris ,Shortnose ponyfish,Perciformes,Leiognathidae,3,NA,8,NA,NA,demersal,commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Odontamblyopus rubicundus,Rubicundus eelgoby,Perciformes,Gobiidae,3.9,NA,5,NA,NA,benthopelagic,minor commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Thunnus albacares,Yellowfin tuna,Perciformes,Scombridae,4.4,0,10,0,0,pelagic-oceanic,,NT,NPTG,3,,2020,Hyrenbach et al. 2020,FTIR,not described,not described,0.25,2,1,NA,NA,NA,NA,NA,3,
Saurida tumbil,Greater lizardfish,Aulopiformes,Synodontidae,4.4,NA,36,NA,0.111,reef-associated,commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Trachinocephalus myops,Snakefish,Aulopiformes,Synodontidae,4.4,NA,14,NA,0.214,reef-associated,minor commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Sirembo imberbis,Golden cusk,Ophidiiformes,Ophidiiade,3.6,0,21,0,0,demersal,minor commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Acropoma japonicum,Glowbelly,Perciformes,Acropomatidae,3.3,0,18,0,0,bathypelagic,commercial,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Alepes melanoptera,Blackfin scad,Perciformes,Carangidae,3.4,NA,16,NA,0.125,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Apogon ellioti,Flag-in cardinal-fish,Perciformes,Apogonidae,3.6,0,34,0,0,reef-associated,none,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Apogon quadrifasciatus,Broadbanded cardinalfish ,Perciformes,Apogonidae,3.6,0,18,0,0,reef-associated,none,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Branchiostegus argentatus,Horsehead tilefish,Perciformes,Latilidae,3.5,0,18,0,0,demersal,none,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Carangoides chrysophrys,Longnose trevally,Perciformes,Carangidae,4.3,NA,12,NA,0.166,reef-associated,commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Decapterus maruadsi,Japanese scad,Perciformes,Carangidae,3.4,NA,18,NA,0.222,reef-associated,highly commerical,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Ostorhinchus semilineatus,Half-lined cardinal,Perciformes,Apogonidae,3.5,0,13,0,0,reef-associated,subsistence,DD,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Siganus canaliculatus,White-spotted spinefoot,Perciformes,Siganidae,2.8,NA,20,NA,0.55,reef-associated,commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Trachurus japonicus,Japanese jack mackerel,Perciformes,Carangidae,3.4,0,18,0,0,pelagic-neritic,highly commerical,NT,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Upeneus bensasi,Japanese goatfish,Perciformes,Mullidae,3.6,0,11,0,0,reef-associated,minor commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Pseudorhombus oligodon,Roughscale flounder,Pleuronectiformes,Paralichthyidae,4.2,0,18,0,0,demersal,commercial,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Lepidotrigla alata,Forksnout searobin,Scorpaeniformes ,Triglidae,3.5,NA,38,NA,0.105,demersal,none,Not assessed,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Gastrophysus spadiceus,Half-smooth golden pufferfish,Tetraodontiformes,Tetradontidae,3.7,NA,14,NA,1,demersal,none,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,2,1,NA,NA,NA,NA,NA,3,
Leiognathus brevirostris,Shortnose ponyfish,Perciformes,Leiognathidae,3,NA,9,NA,4.4,demersal,commercial,Not assessed,CHIN,3,,2020,Zhang et al. 2020a,FTIR,not described,yes,0.0045,2,1,NA,NA,NA,NA,NA,3,
Sillago japonica,Japanese sillago,Perciformes,Sillaginidae,3.5,NA,10,NA,6.9,demersal,commercial,LC,CHIN,3,,2020,Zhang et al. 2020a,FTIR,not described,yes,0.0045,2,1,NA,NA,NA,NA,NA,3,
Astronesthes indopacificus,Indo-Pacific snaggletooth,Stomiiformes,Stomiidae,4,2,7,0.285714286,1,bathypelagic,,LC,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,1,NA,NA,NA,NA,NA,NA,1,
Evynnis cardinalis,Threadfin porgy,Perciformes,Sparidae,3.3,6,9,0.666666667,1.444444444,reef-associated,,EN,CHIN,3,2015,2019,Chan et al. 2019,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Argyropelecus affinis,Pacific Hatchet Fish,Stomiiformes,Sternoptychidae,3.1,0,1,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Argyropelecus hemigymnus,Half-naked hatchet fish,Stomiiformes,Sternoptychidae,3.1,0,3,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Bolinichthys longipes,Popeye lampfish,Myctophiformes,Myctophidae,3.1,0,3,0,0,bathypelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Ceratoscopelus warmingii,Warming's Lantern Fish,Myctophiformes,Myctophidae,3.4,0,8,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Cyclothone acclinidens,Bent-tooth Bristlemouth,Stomiiformes,Gonostomatidae,3.6,0,4,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Cyclothone atraria,Deep-water bristlemouth,Stomiiformes,Gonostomatidae,3.1,0,3,0,0,bathypelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Cyclothone pallida,Tan Bristlemouth,Stomiiformes,Gonostomatidae,3.2,0,5,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
