Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Cyclothone pseudopallida,Slender bristlemouth,Stomiiformes,Gonostomatidae,3.1,0,4,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Danaphos oculatus,Bottlelights,Stomiiformes,Sternoptychidae,3,0,9,0,0,pelagic-oceanic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Diaphus fulgens,Kobito-hadaka (japanese),Myctophiformes,Myctophidae,3.1,2,7,0.285714286,0.2857,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Diaphus phillipsi,Bolin's Lantern Fish,Myctophiformes,Myctophidae,3.1,1,1,1,1,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Diogenichthys atlanticus,Longfin/Atlantic lanterfish,Myctophiformes,Myctophidae,3.1,0,5,0,0,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Hygophum proximum,Firefly lanternfish,Myctophiformes,Myctophidae,3.2,0,2,0,0,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Idiacanthus antrostomus,Pacific Blackdragon,Stomiiformes,Stomiidae,3.8,1,4,0.25,0.25,bathypelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Lampadena urophaos,Sunbeam Lampfish,Myctophiformes,Myctophidae,3.2,0,1,0,0,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Lobianchia gemellarii,Cocco's Lantern Fish,Myctophiformes,Myctophidae,3,1,3,0.333333333,0.3333,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Nannobrachium fernae,NA,Myctophiformes,Myctophidae,3.2,0,1,0,0,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Nannobrachium regale,Pinpoint lampfish,Myctophiformes,Myctophidae,3.2,0,1,0,0,mesopelagic,,Not assessed,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Notolychnus valdiviae,Topside Lampfish,Myctophiformes,Myctophidae,3.1,0,3,0,0,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Notoscopelus resplendens,Patchwork lampfish,Myctophiformes,Myctophidae,3,0,3,0,0,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Sternoptyx diaphana,Diaphanous hatchet Fish,Stomiiformes,Sternoptychidae,3.4,1,4,0.25,0.25,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Sternoptyx pseudobscura,Highlight Hatchetfish,Stomiiformes,Sternoptychidae,3.4,1,6,0.166666667,0.167,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Taaningichthys bathyphilus,Deepwater lanternfish,Myctophiformes,Myctophidae,3.1,0,3,0,0,bathypelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,1,NA,NA,NA,NA,NA,NA,1,
Acanthurus japonicus,Japan surgeonfish,Perciformes,Acanthuridae,NA,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Acanthurus lineatus,Lined surgeonfish,Perciformes,Acanthuridae,2,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Acanthurus pyroferus,Chocolate surgeonfish,Perciformes,Acanthuridae,2,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Balistapus undulatus,Orange-lined triggerfish,Tetraodontiformes,Balistidae,3.4,NA,NA,NA,NA,reef-associated,,NA,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Cephalopholis urodeta,Darkfin hind,Perciformes,Serranidae,4,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Melichthys vidua,Pinktail triggerfish,Tetraodontiformes,Balistidae,3.4,NA,NA,NA,NA,reef-associated,,Not assessed,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Monocentrus japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Naso brevirostris,Spotted unicornfish,Perciformes,Acanthuridae,2.2,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Naso lituratus,Orangespine unicornfish,Perciformes,Acanthuridae,2.3,0,NA,0,0,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Neotrygon kuhlii,Blue-spotted stingray,Myliobatiformes,Dasyatidae,3.3,NA,NA,NA,NA,reef-associated,,DD,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Odonus niger,Red-toothed triggerfish,Tetraodontiformes,Balistidae,3.2,NA,NA,NA,NA,reef-associated,,Not assessed,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Pomacanthus imperator,Emperor angelfish,Perciformes,Pomacanthidae,2.7,0,NA,0,0,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Pseudobalistes fuscus,Yellow-spotted triggerfish,Tetraodontiformes,Balistidae,4,NA,NA,NA,NA,reef-associated,,Not assessed,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Sufflamen fraenatum,Masked triggerfish,Tetraodontiformes,Balistidae,3.7,NA,NA,NA,NA,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Xanthichthys caeruleolineatus,outrigger triggerfish,Tetraodontiformes,Balistidae,3.5,0,NA,0,0,reef-associated,,Not assessed,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Zebrasoma velifer,Sailfin tang,Perciformes,Acanthuridae,2,0,NA,0,0,reef-associated,,LC,CHIN,3,May of 2018,2019,Nie et al. 2019,Raman,not described,yes,0.00045,1,NA,NA,NA,NA,NA,NA,1,
Atherinopsis californiensis,Jacksmelt,Atheriniformes,Atherinopsidae,2.3,2,7,0.285714286,1.6,pelagic-neritic,,LC,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Citharichthys sordidus,Pacific sanddab,Pleuronectiformes,Paralichthyidae,3.5,3,5,0.6,1,demersal,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Engraulis mordax,Pacific Anchovy,Clupeiformes,Engraulidae,3.1,3,10,0.3,0.3,pelagic-neritic,,LC,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Morone saxatilis,Striped bass,Perciformes,Moronidae,4.7,2,7,0.285714286,0.9,demersal,,LC,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Sebastes caurinus,Copper rockfish,Scorpaeniformes,Sebastidae,4.1,0,1,0,0,demersal,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Sebastes flavidus,Yellowtail rockfish,Scorpaeniformes,Sebastidae,4.2,1,3,0.333333333,0.3,reef-associated,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Sebastes miniatus,Vermilion Rockfish,Scorpaeniformes,Sebastidae,3.9,0,5,0,0,reef-associated,,Not assessed,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Thunnus alalunga,Albacore tuna,Perciformes,Scombridae,4.3,0,2,0,0,pelagic-oceanic,,NT,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,1,NA,NA,NA,NA,NA,NA,1,
Tridentiger barbatus,Shikohaze goby,Perciformes,Gobiidae,3.4,8,8,1,4.5,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Centrobranchus andreae,Andre's lanternfish,Myctophiformes,Myctophidae,3.4,2,5,0.4,NA,pelagic-oceanic,,Not assessed,NPTG,1,Feb. -April 2007,2013,Van Noord 2013,none,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,
Collichthys niveatus,NA,Perciformes,Sciaenidae,3.8,0,1,0,0,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Cynoglossus lighti,NA,Pleuronectiformes,Cynoglossidae,3.4,3,3,1,5,demersal,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Okamejei kenojei,Ocellate spot skate,Rajiformes,Rajidae,3.4,3,3,1,6.5,demersal,,DD,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Oplegnathus fasciatus,Barred knifejaw,Perciformes,Oplegnathidae,3.6,3,3,1,4,reef-associated,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Pennahia argentata,Silver croaker,Perciformes,Sciaenidae,4.1,0,4,0,0,benthopelagic,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Polydactylus sextarius,Blackspot threadfin,Perciformes,Polynemidae,3.8,NA,2,NA,0.5,demersal,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,1,NA,NA,NA,NA,NA,NA,1,
Antigonia capros,Deepbody boarfish,Perciformes,Caproidae,4.1,3,3,1,1.88,demersal,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Benthodesmus tenuis,Slender frostfish,Perciformes,Trichiuridae,4.4,2,2,1,3.31,benthopelagic,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Borostomias pacificus,NA,Stomiiformes,Stomiidae,3.7,1,1,1,6.6,bathypelagic,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Centroberyx lineatus,Swallow-tail,Beryciformes,Berycidae,4.2,3,3,1,2.83,benthopelagic,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Chlorophthalmus agassizi,Shortnose greeneye,Aulopiformes,Chlorophthalmidae,3.7,1,1,1,1.88,bathydemersal,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Chlorophthalmus albatrossis,NA,Aulopiformes,Chlorophthalmidae,4.1,4,4,1,2.35,bathydemersal,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Diaphus watasei,Watases lanternfish,Myctophiformes,Myctophidae,3.2,4,4,1,4.01,benthopelagic,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Lepidotrigla guentheri,NA,Scorpaeniformes,Triglidae,3.5,4,4,1,3.06,demersal,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Malakichthys griseus,NA,Perciformes,Acropomatidae,3.2,1,1,1,3.77,pelagic-oceanic,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Neoscopelus microchir,shortfin neoscopelid,Myctophiformes,Neoscopelidae,3.2,1,1,1,3.78,bathypelagic,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Polymetme elongata,NA,Stomiiformes,Phosichthyidae,3.6,1,1,1,7.5,benthopelagic,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Rexea solandri,Silver gemfish,Perciformes,Gempylidae,4.3,3,3,1,4.4,benthopelagic,,Not assessed,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Synagrops japonicus,blackmouth splitfin,Perciformes,Acropomatidae,4.3,2,2,1,3.78,benthopelagic,,LC,CHIN,3,NA,2019,Zhu et al. 2019,FTIR,lab blank,yes,0.00022,1,NA,NA,NA,NA,NA,NA,1,
Pisodonophis boro,Rice-paddy eel,Anguilliformes,Ophichthidae,4,1,1,1,NA,demersal,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Hypoatherina valenciennei,Sumatran silverside,Atheriniformes,Atherinidae,3.2,0,1,0,NA,pelagic-neritic,minor commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Tylosurus melanotus,Keel-jawed needle fish,Beloniformes,Belonidae,4.3,NA,2,NA,NA,reef-associated,commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Stolephorus commersonnii ,Commerson's anchovy,Clupeiformes,Clupeidae,3.1,0,1,0,NA,pelagic-neritic,commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Thryssa vitrirostris,Orangemouth anchovy,Clupeiformes,Clupeidae,3.4,NA,3,NA,NA,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Osteomugil cunnesius,Longarm mullet,Mugiliformes,Mugilidae,2.4,NA,9,NA,NA,demersal,commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Acanthopagrus latus,Yellowfin seabream,Perciformes,Sparidae,3.8,NA,3,NA,NA,demersal,commercial,DD,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Acentrogobius chlorostigmatoides,Greenspot goby,Perciformes,Gobiidae,3.4,1,1,1,NA,demersal,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Acentrogobius viridipunctatus,Spotted green goby,Perciformes,Gobiidae,3.5,NA,9,NA,NA,demersal,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Alepes djedaba ,Shrimp scad,Perciformes,Carangidae,3.3,1,1,1,NA,reef-associated,commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Callionymus curvicornis,Horn dragonet,Perciformes,Callionymidae,3.2,NA,4,NA,NA,demersal,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Dendrophysa russelii,Goatee croaker,Perciformes,Sciaenidae,3.6,NA,2,NA,NA,demersal,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Epinephelus akaara,Hong Kong grouper,Perciformes,Serranidae,4,NA,4,NA,NA,reef-associated,minor commercial,EN,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Gerres decacanthus,Small Chinese silver-biddy,Perciformes,Gerreidae,3.2,NA,2,NA,NA,benthopelagic,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Gerres filamentosus,Whipfin silver-biddy,Perciformes,Gerreidae,3.3,NA,4,NA,NA,demersal,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Gerres limbatus,Saddleback silver-biddy,Perciformes,Gerreidae,3.5,NA,4,NA,NA,demersal,commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Oreochromis niloticus,Nile tilapia,Perciformes,Cichlidae,2,NA,4,NA,NA,benthopelagic,highly commerical,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Periophthalmus modestus ,Shuttles hoppfish,Perciformes,Oxudercidae,3.2,NA,2,NA,NA,demersal,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Cynoglossus puncticeps,Speckled tonguesole,Pleuronectiformes,Cynoglossidae,3.3,NA,5,NA,NA,demersal,commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Zebrias zebra,Zebra sole,Pleuronectiformes,Soleidae,3.5,NA,4,NA,NA,reef-associated,commercial,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Plicofollis nella,Smooth-headed catfish,Siluriformes,Ariidae,3.7,NA,6,NA,NA,demersal,none,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Takifugu niphobles ,Japanese puffer,Tetraodontiformes,Tetradontidae,3.3,NA,6,NA,NA,demersal,none,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Thunnus alalunga,Albacore tuna,Perciformes,Scombridae,4.3,6,7,0.857142857,2.3,pelagic-oceanic,,NT,NPTG,3,,2020,Hyrenbach et al. 2020,FTIR,not described,not described,0.25,1,NA,NA,NA,NA,NA,NA,1,
Priacanthus macracanthus,Red bigeye,Perciformes,Priacanthidae,4.1,0,7,0,0,reef-associated,commercial,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Trichiurus lepturus,Largehead hairtail,Perciformes,Trichiuridae,4.4,0,8,0,0,benthopelagic,highly commerical,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Scorpaena hatizyoensis,,Scorpaeniformes ,Scorpaenidae,3.7,0,9,0,0,demersal,none,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Glossogobius giuris,Tank goby,Perciformes,Gobiidae,3.7,4,5,0.8,0.2,benthopelagic,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Plectorhynchus cinctus,Crescent sweetlips ,Perciformes,Haemulidae,3.5,2,3,0.666666667,0.66,reef-associated,commercial,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Trachinotus ovatus,Pompano,Perciformes,Carangidae,3.7,3,8,0.375,0.63,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Cynoglossus trigrammus,,Pleuronectiformes,Cynoglossidae,3.5,2,8,0.25,0.88,demersal,none,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,1,NA,NA,NA,NA,NA,NA,1,
Alepes djedaba,Shrimp scad,Perciformes,Carangidae,3.3,NA,6,NA,3,reef-associated,commercial,LC,CHIN,3,,2020,Zhang et al. 2020a,FTIR,not described,yes,0.0045,1,NA,NA,NA,NA,NA,NA,1,
Oplegnathus fasciatus,Barred knifejaw,Perciformes,Oplegnathidae,3.6,3,3,1,3.9,reef-associated,commercial,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,1,NA,NA,NA,NA,NA,NA,1,
Raja porosa,Ocellate spot skate,Rajiformes,Rajidae,3.4,3,3,1,6.3,demersal,commercial,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,1,NA,NA,NA,NA,NA,NA,1,
Cynoglossus lighti,NA,Pleuronectiformes,Cynoglossidae,3.4,3,3,1,5,demersal,,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,1,NA,NA,NA,NA,NA,NA,1,
Myctophidae spp.,NA,Myctophiformes,Myctophidae,NA,2,6,0.333333333,0.666666667,NA,,NA,CCAL,3,2009,2019,Gassel et al. 2019,none,lab blank,yes,0.01,NA,NA,NA,NA,NA,NA,NA,0,
Photopectoralis bindus,Orangefin ponyfish,Perciformes,Leiognathidae,2.9,18,18,1,4.1,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,,,,,,,,0,
Johnius spp.,NA,Perciformes,Sciaenidae,NA,NA,30,NA,0.5,NA,,NA,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,NA,NA,NA,NA,NA,NA,NA,0,